letter,weight,rel_weight,center,rel_center,inertia,rel_inertia
А,230,0.19328,"(19.8, 20.21304)","(0.55294, 0.58221)","(17986.56087, 11938.8)","(7.5542, 5.0142)"
Б,329,0.36925,"(14.03951, 17.65046)","(0.50152, 0.52033)","(35604.80243, 17360.48632)","(19.5846, 9.54922)"
В,395,0.39899,"(16.67089, 16.71392)","(0.54038, 0.49106)","(39246.67342, 29903.21519)","(19.73186, 15.0343)"
Г,214,0.24018,"(10.21963, 13.81776)","(0.3546, 0.40056)","(24177.89252, 6748.67757)","(13.29917, 3.71214)"
Д,348,0.24524,"(19.69828, 21.16667)","(0.58432, 0.48016)","(59994.33333, 30717.31897)","(20.42013, 10.45518)"
Е,290,0.30303,"(13.08966, 16.03448)","(0.43177, 0.46983)","(32785.65517, 15359.66897)","(16.98739, 7.95838)"
Ё,322,0.27082,"(13.32919, 21.89441)","(0.44033, 0.52236)","(46182.40994, 16223.10559)","(18.31182, 6.43264)"
Ж,460,0.30976,"(22.81087, 16.72826)","(0.4957, 0.49151)","(49195.03261, 50192.54565)","(15.79802, 16.11835)"
З,229,0.2974,"(15.89083, 17.21834)","(0.70909, 0.47701)","(26523.08297, 6442.27074)","(15.51965, 3.76961)"
И,377,0.32641,"(17.68966, 16.25464)","(0.49087, 0.47671)","(37471.55438, 37484.68966)","(16.19341, 16.19909)"
Й,438,0.2781,"(17.74658, 24.99315)","(0.49255, 0.5453)","(66524.97945, 40032.86986)","(20.46922, 12.31781)"
К,321,0.29477,"(14.29283, 17.00623)","(0.4154, 0.50019)","(33639.98754, 20248.47352)","(15.44536, 9.29682)"
Л,268,0.2461,"(19.60821, 16.72761)","(0.58151, 0.49149)","(34687.11567, 20055.86194)","(15.92613, 9.20838)"
М,425,0.2927,"(23.10588, 16.50824)","(0.51409, 0.48463)","(39160.22118, 67800.23529)","(12.94553, 22.4133)"
Н,342,0.2961,"(18.06433, 16.14912)","(0.50189, 0.47341)","(34133.39474, 35270.5848)","(14.75082, 15.24226)"
О,348,0.29244,"(17.85632, 18.15517)","(0.5108, 0.50456)","(34219.62069, 47132.81609)","(14.37195, 19.79539)"
П,355,0.30736,"(17.64507, 15.34648)","(0.48956, 0.44833)","(39748.3831, 36769.27887)","(17.17735, 15.88992)"
Р,270,0.31469,"(13.23333, 13.70741)","(0.48933, 0.39711)","(22539.88519, 13248.3)","(12.77047, 7.50612)"
С,238,0.21935,"(11.76471, 17.01681)","(0.35882, 0.47108)","(29301.93277, 18946.82353)","(13.40436, 8.66735)"
Т,201,0.21003,"(15.48259, 12.68159)","(0.51724, 0.36505)","(23563.62189, 6558.18905)","(12.20913, 3.39803)"
У,250,0.21626,"(16.124, 14.752)","(0.4583, 0.41673)","(27208.624, 14033.156)","(11.76844, 6.0697)"
Ф,431,0.3437,"(20.00232, 16.89327)","(0.51358, 0.49666)","(31845.09049, 44026.99768)","(12.57208, 17.38137)"
Х,290,0.25108,"(18.48966, 15.83448)","(0.5144, 0.46358)","(33848.05517, 18098.46897)","(14.62751, 7.82129)"
Ц,409,0.27176,"(18.62103, 19.39853)","(0.51827, 0.43806)","(57542.03912, 46146.25917)","(18.71895, 15.0118)"
Ч,318,0.31085,"(17.89937, 14.16981)","(0.56331, 0.41156)","(26170.83019, 23098.77987)","(12.76626, 11.2677)"
Ш,504,0.30545,"(24.92659, 16.87897)","(0.4883, 0.49622)","(57043.61706, 107310.28373)","(15.89401, 29.89977)"
Щ,583,0.27116,"(26.20926, 19.37393)","(0.51447, 0.43747)","(80570.4837, 132430.46998)","(18.52621, 30.45079)"
Ъ,292,0.26814,"(19.07534, 18.2226)","(0.56485, 0.53821)","(31366.53082, 19386.34247)","(14.40153, 8.90098)"
Ы,450,0.31712,"(21.27111, 18.23333)","(0.48265, 0.53854)","(45276.5, 70296.92444)","(15.41065, 23.9268)"
Ь,295,0.33109,"(13.27119, 19.37966)","(0.47197, 0.57436)","(26963.47797, 15178.30508)","(14.8314, 8.3489)"
Э,266,0.24516,"(20.98872, 17.19549)","(0.66629, 0.47634)","(29827.83459, 19182.96617)","(13.64494, 8.77537)"
Ю,556,0.31771,"(24.35252, 18.34892)","(0.47658, 0.51026)","(56924.30935, 132986.90647)","(15.28169, 35.70118)"
Я,372,0.35227,"(18.80108, 16.47043)","(0.57423, 0.48345)","(36070.67473, 21245.27957)","(17.07084, 10.05456)"
